,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Bronx,Kingsbridge,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,18,7.7,8
1,Bronx,Kingsbridge,50ea5611e4b044bdeead3ade,Q'Kachapa,16,7.3,6
2,Bronx,Baychester,4be2ecf6b02ec9b6a5064ec0,Caridad & Louie,66,7.9,27
3,Bronx,City Island,0,0,0,0.0,0
4,Bronx,Bedford Park,0,0,0,0.0,0
5,Bronx,Morris Heights,4e39863dae60f589a5dc0dcb,Yoly Restaurant,5,7.5,3
6,Bronx,Fordham,4cf9d4d12d80a14383df40d8,Kasike Mofongo House,13,7.4,6
7,Bronx,Fordham,4bb7b71998c7ef3bf03e3002,Three  Spanish  Restaurant,7,6.7,7
8,Bronx,Mott Haven,0,0,0,0.0,0
9,Bronx,Hunts Point,4c9ca8fc54c8a1cd9e057c4b,Randall Restaurant,5,6.6,2
10,Bronx,Westchester Square,4b68b130f964a52071872be3,Caridad  Restaurant,8,5.6,8
11,Bronx,Belmont,0,0,0,0.0,0
12,Bronx,Concourse,531285f5498e27c059004eee,El Gran Valle Restaurant,7,7.7,3
13,Bronx,Concourse,0,0,0,0.0,0
14,Brooklyn,Brownsville,506ef5e6e4b06f9dbb264036,Tropical Coffee Shop,6,7.0,1
15,Brooklyn,Cobble Hill,4f6e5ea9e4b086107787908b,La Vara,494,9.0,143
16,Brooklyn,Gowanus,0,0,0,0.0,0
17,Brooklyn,East New York,0,0,0,0.0,0
18,Brooklyn,Downtown,5945cb694c9be62191a733d5,The Paella Shack,16,6.2,5
19,Manhattan,Chinatown,59480a78f62e090a3b4d6eb7,Cervo's,104,8.6,22
20,Manhattan,Washington Heights,4bb8cdb053649c74465847fb,Punto de Sabor Restaurant,10,7.5,5
21,Manhattan,Inwood,4c043cd3f423a593955dd116,La Reina Del Chicharron,22,8.3,7
22,Manhattan,Hamilton Heights,4a2edc71f964a5206f981fe3,Caridad Restaurant,25,6.6,23
23,Manhattan,Little Italy,45697387f964a520e53d1fe3,Despaña,883,9.1,287
24,Manhattan,Soho,45697387f964a520e53d1fe3,Despaña,883,9.1,287
25,Queens,Jackson Heights,4d1a631e1683a1437bf37351,La Picada Azuaya,6,7.9,2
26,Queens,Jackson Heights,57b0b4dd498e4bc4715a9bb1,Barriles Restaurant and Sports bar,8,7.3,1
27,Queens,Richmond Hill,4ec1a837722e0f78de974903,Girasol Bakery,2,5.7,8
28,Queens,Ozone Park,4c39e32e18e72d7f32dc1af5,Libertad Restaurant,6,6.7,5
29,Queens,Bayside,5669ffe7498edbe082db916f,Sangarita's Tapas Wine,12,7.9,0
